"Method","tau","n","p","seed","beta0","beta1","beta2","time"
"mRock_global",0.9,10000,2,107,1.16694309816893,-1.39892634811106,0.322401655578275,17.871
"two_step_Neyman",0.9,10000,2,108,-0.257970906851855,0.390216684956017,2.42363923252802,0.0930000000000035
"two_step_LS",0.9,10000,2,108,-0.26323297749897,0.0407851928919314,2.78002797243946,0.0930000000000035
"mRock",0.9,10000,2,108,-0.0278969702645879,-0.0272916796595912,2.80328313145087,2.057
"mRock_global",0.9,10000,2,108,0.295238782600971,0.773292218772365,1.88077856569757,15.332
"two_step_Neyman",0.9,10000,2,109,-1.96619298608209,2.66630063023519,-3.40523254344652,0.0919999999999987
"two_step_LS",0.9,10000,2,109,-1.18674384243628,1.64588093162366,-3.15636809058542,0.0919999999999987
"mRock",0.9,10000,2,109,-0.107502654672415,0.184069250238881,-2.67096321527634,1.958
"mRock_global",0.9,10000,2,109,-1.8813181001275,1.61816802986943,-2.61738407623652,18.768
"two_step_Neyman",0.9,10000,2,11,-2.36130812095356,-1.39805589039142,4.32663935641325,0.0910000000000011
"two_step_LS",0.9,10000,2,11,-0.658354800439834,-1.04861958686224,2.29233394773219,0.0910000000000011
"mRock",0.9,10000,2,11,0.204309121682532,-0.277668979566515,0.789763781975608,2.039
"mRock_global",0.9,10000,2,11,0.117019770746346,-0.275146755462304,1.92977326507659,15.576
"two_step_Neyman",0.9,10000,2,110,-4.43718176046593,2.87296213377653,2.73676492145447,0.0839999999999961
"two_step_LS",0.9,10000,2,110,-3.00691325113662,3.10694388187814,1.04916859286402,0.0839999999999961
"mRock",0.9,10000,2,110,-0.393258600054075,0.237420924634251,1.52597160506875,1.962
"mRock_global",0.9,10000,2,110,-1.77379697591635,1.37375950476844,2.26476310564196,18.799
"two_step_Neyman",0.9,10000,2,111,-0.340463525016007,-0.689236685919111,-1.22206361002647,0.0900000000000034
"two_step_LS",0.9,10000,2,111,-0.220523527365593,-0.581744106250645,-1.41983596689252,0.0900000000000034
"mRock",0.9,10000,2,111,-0.0570180002293927,-0.0119645173096417,-2.12718779329435,1.956
"mRock_global",0.9,10000,2,111,1.50237526250404,-1.46051966542129,-1.98465071141325,18.73
"two_step_Neyman",0.9,10000,2,112,3.18010242029021,-2.127475885513,-3.91948189213817,0.104999999999997
"two_step_LS",0.9,10000,2,112,3.12124095209441,-2.18637823950659,-3.81477899345532,0.104999999999997
"mRock",0.9,10000,2,112,0.226753311100902,-0.260198182228041,-2.81691279582915,1.93
"mRock_global",0.9,10000,2,112,-0.352781827314972,0.0457087800048095,-2.65385928523122,20.723
"two_step_Neyman",0.9,10000,2,113,1.42585290291619,-0.615506866060691,-1.1761309592349,0.111000000000001
"two_step_LS",0.9,10000,2,113,2.04895187023222,-1.3149720329664,-1.07472715358479,0.111000000000001
"mRock",0.9,10000,2,113,0.153809418996528,-0.262115782340943,-0.109454492476587,1.916
"mRock_global",0.9,10000,2,113,0.586679939887747,-0.20223701382636,-1.11019746629304,14.925
"two_step_Neyman",0.9,10000,2,114,0.63319415820897,0.248464002511718,-3.61685318801999,0.102999999999994
"two_step_LS",0.9,10000,2,114,1.7365351502614,-1.2784694764903,-3.19788579780548,0.102999999999994
"mRock",0.9,10000,2,114,-0.0646995268170825,0.0966381298758221,-2.5714483768745,1.945
"mRock_global",0.9,10000,2,114,-1.38953436702976,1.21172008751264,-2.62279334071687,17.617
"two_step_Neyman",0.9,10000,2,115,1.7653895255699,-1.57535621327657,-0.795170732038002,0.083000000000002
"two_step_LS",0.9,10000,2,115,-0.768052680064395,-0.517934610108656,0.665587810845778,0.083000000000002
"mRock",0.9,10000,2,115,0.120740092690456,0.0270971546961589,-0.611809835653219,1.925
