"Method","tau","n","p","seed","num_bin","beta0","beta1","beta2","time"
"Average of linear quantiles",0.9,10000,2,12,NA,1.24430699026904,-1.00605971870424,1.33093615042347,0.408000000000001
"Average of linear quantiles",0.9,10000,2,120,NA,2.62532131351723,0.200161606920915,0.579743914461121,0.479000000000003
"Average of linear quantiles",0.9,10000,2,121,NA,3.52741259243157,-3.90936475284117,-2.72422523290461,0.494
"Average of linear quantiles",0.9,10000,2,122,NA,4.77128661406505,0.456329152338766,-3.14549363004558,0.452000000000002
"Average of linear quantiles",0.9,10000,2,123,NA,3.33176099209416,-3.52912426361535,-1.84504860105082,0.394
"Average of linear quantiles",0.9,10000,2,124,NA,3.08775848437053,-4.72729167005572,-4.79035722705331,0.422000000000001
"Average of linear quantiles",0.9,10000,2,125,NA,4.12162484652519,-2.896541249414,-1.78705743179144,0.452000000000002
"Average of linear quantiles",0.9,10000,2,126,NA,5.04349359761209,-0.271538009402319,-1.28314637346194,0.434000000000001
"Average of linear quantiles",0.9,10000,2,127,NA,2.70301106196775,-0.452867162369266,0.792231584846579,0.433
"Average of linear quantiles",0.9,10000,2,128,NA,3.59778745116774,-5.3552125330184,-2.34751855506707,0.428000000000001
"Average of linear quantiles",0.9,10000,2,129,NA,1.55726013843144,-5.61113902043634,-0.291850947069582,0.401
"Average of linear quantiles",0.9,10000,2,13,NA,2.42190193980633,-0.978295656194238,-0.946792714525406,0.432000000000002
"Average of linear quantiles",0.9,10000,2,130,NA,3.97913881206289,-2.82347746495812,-3.07891000744582,0.407999999999999
"Average of linear quantiles",0.9,10000,2,131,NA,2.58710122501929,-2.94708115427847,-3.19990554709069,0.444000000000001
"Average of linear quantiles",0.9,10000,2,132,NA,3.23952910745246,0.543878643881587,-0.425447568069978,0.429
"Average of linear quantiles",0.9,10000,2,133,NA,2.67634583730744,-4.00241514424823,2.61777931887284,0.435000000000002
"Average of linear quantiles",0.9,10000,2,134,NA,2.31735058909859,-4.59286390155888,-0.181965742917852,0.388999999999999
"Average of linear quantiles",0.9,10000,2,135,NA,2.51839894666832,-0.326665487370336,-2.0019358266002,0.442
"Average of linear quantiles",0.9,10000,2,136,NA,3.76854260427812,-2.35634685585027,0.716774166301172,0.406000000000001
"Average of linear quantiles",0.9,10000,2,137,NA,4.17678083618428,-0.164303781003435,0.343358842933211,0.449
"Average of linear quantiles",0.9,10000,2,138,NA,1.71366311755211,-6.86497625501427,-0.566969549965411,0.437999999999999
"Average of linear quantiles",0.9,10000,2,139,NA,1.83043658672651,-3.81344241572677,-3.49970102181854,0.379999999999999
"Average of linear quantiles",0.9,10000,2,14,NA,1.7691364896239,-0.758980645964689,-0.372247141825594,0.43
"Average of linear quantiles",0.9,10000,2,140,NA,4.71781062406583,-0.115778478988556,-3.31503334922955,0.448
"Average of linear quantiles",0.9,10000,2,141,NA,1.64262713332054,1.96521809700184,-0.682781990835477,0.468
"Average of linear quantiles",0.9,10000,2,142,NA,4.78174979855162,-2.29913393496516,-1.93725914018042,0.41
"Average of linear quantiles",0.9,10000,2,143,NA,3.05292932406363,4.97475853414539,0.470638846729952,0.444000000000001
"Average of linear quantiles",0.9,10000,2,144,NA,0.490369201598268,-4.13434378507984,-2.14435629439918,0.404999999999999
"Average of linear quantiles",0.9,10000,2,145,NA,4.14147123807721,-0.00865887063694282,-0.93060904970524,0.442
"Average of linear quantiles",0.9,10000,2,146,NA,2.18595837679495,-0.381168136223762,-1.05807675794351,0.416
"Average of linear quantiles",0.9,10000,2,147,NA,4.12516422311224,-0.685323296415871,1.24753785445594,0.452999999999999
"Average of linear quantiles",0.9,10000,2,148,NA,1.43011162809671,-3.53825170855344,1.36284008652642,0.440999999999999
"Average of linear quantiles",0.9,10000,2,149,NA,4.8459039391669,-3.82516961400958,1.34219174981493,0.388
"Average of linear quantiles",0.9,10000,2,15,NA,3.61614322075059,-1.56953322464513,-1.13638631586571,0.433
"Average of linear quantiles",0.9,10000,2,150,NA,3.34914703014671,-5.47077213142981,-2.43475021170165,0.399000000000001
