"Method","tau","n","p","seed","beta0","beta1","beta2"
"mRock",0.9,1000,2,141,-0.916631662090187,0.872697876166124,15.1460282303957
"two_step_Neyman",0.9,1000,2,142,-6.53338943707491,1.84279291467592,9.56295366621511
"two_step_LS",0.9,1000,2,142,-0.0671091246802407,-4.20333480861582,8.90262288927612
"mRock",0.9,1000,2,142,-0.604042736678803,0.890330945193746,2.92813313591134
"two_step_Neyman",0.9,1000,2,143,12.8351222893202,1.13856533470186,-29.6677517163694
"two_step_LS",0.9,1000,2,143,5.35838205695599,2.33537772758769,-23.3010569900808
"mRock",0.9,1000,2,143,0.386332525448006,0.826023823091115,-18.0759855170653
"two_step_Neyman",0.9,1000,2,144,2.11009236503475,8.11887646684978,-1.56056597677336
"two_step_LS",0.9,1000,2,144,7.31193029675518,3.29746500844627,-1.98884933477504
"mRock",0.9,1000,2,144,-0.256297412945118,0.889010217557859,4.98876304537751
"two_step_Neyman",0.9,1000,2,145,-6.25628779627812,0.407990126533611,0.491264370737213
"two_step_LS",0.9,1000,2,145,-5.70817271292681,1.6298872642958,-1.52768340968854
"mRock",0.9,1000,2,145,-0.00636855104767253,-0.183730644976881,-7.68218219790539
"two_step_Neyman",0.9,1000,2,146,5.33701402287767,8.09255441543767,-17.300647590402
"two_step_LS",0.9,1000,2,146,5.54924180431211,1.39746966669182,-10.5679434288722
"mRock",0.9,1000,2,146,-0.805486170297185,1.45458894530667,-5.14092710647036
"two_step_Neyman",0.9,1000,2,147,-11.433209956875,8.43010590399147,9.64160533038738
"two_step_LS",0.9,1000,2,147,-3.08055342499687,3.28850747050247,6.51344789851846
"mRock",0.9,1000,2,147,-1.01755630406277,0.998216121399754,3.86616358770257
"two_step_Neyman",0.9,1000,2,148,10.2979816370923,-5.51454560703141,-7.77422446034556
"two_step_LS",0.9,1000,2,148,9.87507527463365,-5.80169835505115,-7.21353173821316
"mRock",0.9,1000,2,148,0.720197032022426,-0.0753378772399702,-6.17056212766124
"two_step_Neyman",0.9,1000,2,149,8.63541206456688,-4.45312788731305,-4.44732817501328
"two_step_LS",0.9,1000,2,149,3.97050581498282,-6.10347494959274,1.50147843210803
"mRock",0.9,1000,2,149,1.09035513463377,-0.757285381119208,-1.70970468400179
"two_step_Neyman",0.9,1000,2,15,14.1873979369035,-5.64287310968143,-9.89674989678441
"two_step_LS",0.9,1000,2,15,2.57252126032066,1.01602913381258,-5.48274231154427
"mRock",0.9,1000,2,15,1.73588588480318,-1.65424562411975,-3.72734666702712
"two_step_Neyman",0.9,1000,2,150,9.60710787009832,-8.22571409774047,-7.29532464396796
"two_step_LS",0.9,1000,2,150,9.00383948725119,-5.31201595829437,-9.74696077043487
"mRock",0.9,1000,2,150,0.729206170022676,-0.624383987362131,-8.25233449377946
"two_step_Neyman",0.9,1000,2,151,-4.89629215481582,7.96597548049513,-5.24283414864706
"two_step_LS",0.9,1000,2,151,0.446992173239845,1.20595499478801,-3.58523090099725
"mRock",0.9,1000,2,151,0.0694086296888852,0.0104453757996574,-2.56006121453611
"two_step_Neyman",0.9,1000,2,152,-6.4595227341744,5.00284072395673,3.91832387443623
"two_step_LS",0.9,1000,2,152,-4.38878775419202,4.17202627991328,2.51887566647557
"mRock",0.9,1000,2,152,0.479647190966736,0.0752570812180684,-0.39407164500426
"two_step_Neyman",0.9,1000,2,153,0.940855958291281,-1.30107135804733,-2.83333462156338
"two_step_LS",0.9,1000,2,153,1.39545259406042,0.378151872540804,-4.83010456449445
"mRock",0.9,1000,2,153,-0.398918509905302,-0.216613070970831,-3.95757327312484
"two_step_Neyman",0.9,1000,2,154,-8.05907712417556,4.67787699759679,5.98084576213905
"two_step_LS",0.9,1000,2,154,-5.37845371366208,5.04399560867708,2.81492497403073
"mRock",0.9,1000,2,154,-0.636343957159974,-0.0579682862526938,1.7886827520757
"two_step_Neyman",0.9,1000,2,155,-5.00144243055927,1.48492510658094,1.01871017211397
"two_step_LS",0.9,1000,2,155,-0.992699492268994,1.93932591122117,-3.34183127076136
"mRock",0.9,1000,2,155,-0.674303381332662,0.405188924262056,-3.67698799657224
"two_step_Neyman",0.9,1000,2,156,-19.717720562055,17.6561776312798,1.4447045087925
"two_step_LS",0.9,1000,2,156,-6.85150389140009,0.898393975458558,5.86901024897229
"mRock",0.9,1000,2,156,-0.755661551172925,1.53090660364996,-3.04008361229702
"two_step_Neyman",0.9,1000,2,157,-6.11025980008548,7.06813996409187,-0.360558694618902
"two_step_LS",0.9,1000,2,157,-0.473296846218053,-0.508631408106275,1.58674210958607
"mRock",0.9,1000,2,157,-0.672836044741978,0.690314298796937,-0.775711475802353
"two_step_Neyman",0.9,1000,2,158,9.01318656410574,-8.56310006180669,-0.959868896576495
"two_step_LS",0.9,1000,2,158,7.94847007675458,-3.61009559143679,-5.3732171327857
"mRock",0.9,1000,2,158,1.0190230828505,-1.1004753866092,-2.51313576370568
"two_step_Neyman",0.9,1000,2,159,6.50747940340927,0.322138165208792,-5.30852280622197
"two_step_LS",0.9,1000,2,159,8.27679403356906,-2.98928865770751,-3.67624049499271
"mRock",0.9,1000,2,159,-1.31071034008071,1.40711487500109,-0.561092337239486
"two_step_Neyman",0.9,1000,2,16,-8.59609888113962,9.49869413078632,-0.198772074457366
"two_step_LS",0.9,1000,2,16,-12.0651626777488,11.0580126167636,1.57486082490558
"mRock",0.9,1000,2,16,-0.946571117250339,0.995675250701652,-1.32143681005013
"two_step_Neyman",0.9,1000,2,160,-2.85026237049957,3.2100883862275,0.204449835416909
"two_step_LS",0.9,1000,2,160,-5.27727458922589,2.6557518137481,3.03878767752961
"mRock",0.9,1000,2,160,-0.649845695733996,0.241646577402111,-0.357639372189823
"two_step_Neyman",0.9,1000,2,161,-3.49410239422457,7.07708510251864,-14.6895525686116
"two_step_LS",0.9,1000,2,161,-6.8621977794043,6.51554715127497,-10.7753872455804
"mRock",0.9,1000,2,161,-0.0355625345095252,0.711437019988827,-13.1621717964726
"two_step_Neyman",0.9,1000,2,162,-5.10190929481468,1.22344560761854,3.30861006788008
"two_step_LS",0.9,1000,2,162,-1.26585326315493,3.44020852442959,-2.52574144628574
"mRock",0.9,1000,2,162,0.362041224396408,0.0153692413046431,-2.95248747935305
"two_step_Neyman",0.9,1000,2,163,10.1685034765639,-6.8283958752396,-3.89544539159711
"two_step_LS",0.9,1000,2,163,0.508219019467496,-4.6193648939801,3.72210868394694
"mRock",0.9,1000,2,163,0.792555444596903,-0.66251104679709,-2.46923100498077
"two_step_Neyman",0.9,1000,2,164,11.0105974479877,-5.05331101314105,-15.1798082824388
"two_step_LS",0.9,1000,2,164,3.05457423763151,-2.18057380302343,-10.4098634891803
"mRock",0.9,1000,2,164,1.06546287922719,-0.563149589014505,-11.416851216622
"two_step_Neyman",0.9,1000,2,165,6.42622623599444,-7.46989967772282,-0.401626419618438
"two_step_LS",0.9,1000,2,165,9.22410382020165,-6.7382638309032,-4.0929309690717
"mRock",0.9,1000,2,165,1.88286841786694,-1.46844088739007,-3.20393048582444
"two_step_Neyman",0.9,1000,2,166,-6.75989181639356,6.12313634506778,-6.50265044989565
"two_step_LS",0.9,1000,2,166,-5.63501492753273,6.3924723332369,-8.06511455300361
"mRock",0.9,1000,2,166,-1.13723547264662,0.950441729149994,-9.74183209886439
"two_step_Neyman",0.9,1000,2,167,4.93767971143624,-0.778115187360128,-8.4567940402751
