"Method","tau","intercept","Black","Asian","Hispanic","visit.10","visit6.10","diabete","hypertension","cigarette","age..19","age..35","WIC","unmarried","college","some.college"
"i-Rock",0.025,1340.53049461238,-252.427832839742,-174.021320483008,-40.9713435640463,889.881473094493,428.397486447471,-17.0555394308167,-453.952560904064,-124.739076016183,31.2901502243557,-93.9946300654923,17.3004816922851,-72.6319099683461,83.4822121873026,2.27429927886091
"two-step",0.025,1334.49936081915,-251.612150387472,-168.479723218636,-37.6574629742318,898.111993827009,437.01379408572,-13.0532000618408,-460.834346662869,-123.693198268303,19.2978255024981,-99.3815299052252,18.9513301816647,-74.8093450588644,75.3574550499519,-6.32947505199707
"i-Rock",0.025,1344.12438432029,-270.423616881769,-178.30404898159,-40.6254565207826,895.594216736002,427.276505288754,-12.0256631858113,-449.673136417379,-138.345332631051,14.6340394482584,-103.997541215047,16.4344360039381,-65.4914651129375,77.5485063817265,1.47016734063077
"two-step",0.025,1338.85987916634,-267.809950347484,-171.735277755908,-37.0790463717285,900.435269410503,433.026029411772,-8.67192064272609,-453.914431095381,-131.760762538624,16.0821225446522,-106.327511225693,19.1003820720924,-69.4152861038935,70.2146530981174,-3.42853480130461
"i-Rock",0.025,1347.42360364826,-267.288357497916,-187.635009181218,-39.2559315375809,896.012789810043,436.343229299097,-24.5124109769711,-445.442287406708,-140.639842947228,8.33081047248224,-102.725384703969,19.2681095078522,-80.2672039307825,75.1691816778739,-5.97348171085916
"two-step",0.025,1342.90671457403,-267.730398463649,-179.109367383853,-37.47344716832,899.913294638776,438.798023374792,-19.6014236567931,-452.780920821871,-136.574569247616,3.83939516083599,-105.585461304126,21.1002626267693,-78.3716546659995,69.8926411763087,-14.4650139130742
"i-Rock",0.025,1350.52039008159,-253.987783807404,-174.99196792234,-37.6383383111589,891.957433712004,424.631681416123,-23.7043503473006,-453.032984937497,-123.405689864617,-13.1720419176901,-106.249904126267,19.2634031504731,-80.2320690941322,74.172881362124,1.74375197716531
"two-step",0.025,1345.90758543348,-253.531121163581,-165.258204873611,-35.9801174689658,898.309529531073,430.035564359857,-20.5067967556484,-460.424169825655,-119.940183771341,-16.3167998459914,-108.97193155144,21.6495508072421,-81.4119785123201,66.5465514760785,-7.36492721790998
"i-Rock",0.025,1347.89917822696,-262.999945291231,-163.450579826168,-38.748073802106,890.352288496486,426.465830403682,-12.0599773617471,-442.533339380531,-134.45476959682,7.19815507946297,-99.6987467296534,20.7094313536291,-71.6467534802582,73.4796613634805,-1.80734670331397
"two-step",0.025,1342.79181704119,-260.87709095674,-154.385202556467,-34.2264478857845,897.000628257539,432.039847357692,-11.4540428782873,-450.577237298201,-121.192105157675,9.95006845648308,-100.185411270797,18.4042259619436,-73.6007085182292,62.6540253916628,-10.167140000078
