"Method","tau","seed","n_boot","intercept","Black","Asian","Hispanic","visit.10","visit6.10","diabete","hypertension","cigarette","age..19","age..35","WIC","unmarried","college","some.college"
"i-Rock",0.01,1,5000,1076.08373464126,-273.049159663868,-160.235630733345,-36.4089531649075,861.845425022604,355.427310924372,-31.7702064989607,-410.784453781515,-138.58369565217,12.165126050422,-107.854541396422,30.8420483992237,-73.0182200152815,67.465425022604,-11.2841298981841
"i-Rock",0.01,20,5000,1072.51519797543,-272.306490628852,-200.698531840089,-41.1833074811092,864.797516801199,365.663857033964,-29.3653654406929,-446.519131110993,-138.198698774023,16.5359581451721,-118.640858707086,17.9682943265421,-61.6282182249443,80.537425437535,-8.17283086161625
"i-Rock",0.01,2,5000,1074.22366635204,-258.284323133005,-175.08351648352,-38.9420228893906,849.86967079327,350.915635135948,-1.0370551470224,-417.952644504618,-85.7701316227605,45.7149118825975,-107.744634093977,24.0130323623772,-64.1076664563547,83.711607909642,-2.36173541370784
"i-Rock",0.01,3,5000,1079.09288722248,-268.41793020754,-162.319433012791,-44.7902098766444,855.048030659157,349.268751225598,-1.84458555600573,-408.142148306216,-86.6152098025348,31.0259435044229,-111.219699326626,27.7498306895149,-70.4085334809765,78.6191606321226,-9.54220543528347
"i-Rock",0.01,4,5000,1069.28372146373,-265.7606060606,-145.441223591223,-42.3412235912233,863.19183970856,355.277412021137,-2.66108174725345,-410.282380823217,-77.0118397085603,12.443328719602,-104.986672283397,32.0831039331034,-73.2637214637263,75.329383882663,1.63232908560632
"i-Rock",0.01,5,5000,1071.51348020652,-268.17574536664,-198.657122105111,-44.7108864451696,850.703113876551,355.86740688477,-7.73021120523009,-431.508561429479,-128.357110212311,16.2078829318501,-119.023776878978,44.0574097135701,-72.8617387179,96.4291100799102,-0.484992351469746
"i-Rock",0.01,6,5000,1074.39211657149,-261.537200824382,-150.641301667372,-35.399347076851,855.533338101339,355.778238361188,-5.28982803532986,-421.540648744219,-86.0564947020001,-18.8213596346073,-108.897791601359,27.525364999299,-65.4750132205203,76.1424457102701,-5.66099163679974
"i-Rock",0.01,7,5000,1079.74269674039,-261.25220002731,-167.632033451499,-41.7820512820499,856.79375516956,349.54237096748,-10.2641432271199,-431.44427805062,-118.5986064243,27.5241935483901,-114.41620787518,25.2501247629501,-69.8107702212901,81.7398595921702,-11.9377394636
"i-Rock",0.01,8,5000,1082.71909317678,-277.293883986938,-157.55574494949,-44.393883986938,846.297626796131,345.081790661602,3.69425505051004,-410.39276568502,-109.091396079698,-12.4620854340903,-105.75971223022,30.5048611111099,-62.8679848668601,78.2045179343314,-13.7959694210286
"i-Rock",0.01,9,5000,1090.69670985687,-261.580504056959,-176.58050405696,-46.3746717633245,844.819752951237,343.887978142077,17.4362067118103,-418.504183941985,-179.74908250147,-10.8198102672405,-112.995395002564,45.8752371833342,-72.4031503731186,73.7854698202855,-17.8679815209702
"i-Rock",0.025,10,5000,1353.12267962092,-259.335600264614,-162.001355482784,-39.022124872195,889.550880065499,424.491958656515,-34.3925134052399,-441.900554748725,-166.51122638585,-10.4068920940701,-115.779690798395,18.6175458064801,-77.8434118915849,75.9546203527199,-4.89526569881994
"i-Rock",0.025,11,5000,1343.22637083853,-255.70555602372,-190.97726140397,-43.4925113410847,905.525382527295,441.386078014315,-29.0258267566653,-460.88758806468,-125.781979653655,14.5020057215948,-100.47546954388,14.6511451848954,-81.7275160234249,69.8764266733153,-13.4313825272949
"i-Rock",0.025,12,5000,1357.38078544192,-274.168280095318,-173.63064309333,-39.4990234291071,888.821540701952,430.395019523423,-30.8027581071311,-466.39719913322,-139.696762778406,-19.0995127299218,-111.862805109578,19.0091931071814,-76.8755446076355,72.425853895266,-8.03597464341943
"i-Rock",0.025,13,5000,1343.29907092953,-251.2347877807,-187.46298686491,-40.4732372405698,901.04960410534,438.35299640871,-22.68391178389,-458.112163431001,-157.27290483453,7.52643803626021,-102.27324501914,19.0542235158497,-81.7952059354904,70.76523046521,-5.51101269720995
"i-Rock",0.025,14,5000,1348.99301680922,-277.60986819859,-177.67768142659,-40.6942803428799,888.754846438639,426.94095984795,-29.5305514158,-453.699756003521,-142.872072539409,-21.3082909968898,-103.879280468,14.97867515954,-65.0778701233105,80.8803167912799,-6.1697410810199
