"Method","tau","n","p","seed","K","beta0","beta1","beta2","beta3","time"
"mRock_kNN_global_bs_Neyman",0.9,5000,3,34,301,-1.43212984314258,-6.33626253276096,-2.8756651487774,3.97951211470846,12.182
"mRock_kNN_global_linear_Neyman",0.9,5000,3,34,602,9.22059333027277,-10.2568273591648,-6.5643026768393,2.36906552619173,7.274
"mRock_kNN_global_bs_Neyman",0.9,5000,3,34,602,-1.2201713785151,-6.35655459669599,-2.75458602284234,2.51730749119275,11.549
"two_step_Neyman",0.9,5000,3,34,NA,5.28291070366573,-10.8149716120984,-3.27379092278821,3.46606603979661,0.0340000000000202
"two_step_LS",0.9,5000,3,34,NA,-3.60360059457745,1.39171751494198,1.41774030128037,4.03521106131309,0.0139999999999816
"mRock_kNN_global_linear_Neyman",0.9,5000,3,340,301,12.0874564948332,1.16820232423066,-0.660541107519346,1.74587920461208,8.749
"mRock_kNN_global_bs_Neyman",0.9,5000,3,340,301,0.393778236500722,3.67762446571921,3.21383536349937,1.02455609873715,11.711
"mRock_kNN_global_linear_Neyman",0.9,5000,3,340,602,8.27815655470877,-0.799694148571999,-0.752806451348459,4.00540212377037,7.47300000000001
"mRock_kNN_global_bs_Neyman",0.9,5000,3,340,602,0.173345492051461,4.92452581275488,2.89043526139332,1.79032398608241,10.866
"two_step_Neyman",0.9,5000,3,340,NA,2.5491104395492,6.03973353943664,5.79975064647406,2.02461536687101,0.0360000000000014
"two_step_LS",0.9,5000,3,340,NA,-5.19053650456488,14.2993535336692,12.1378542019462,3.4808886421305,0.00999999999999091
"mRock_kNN_global_linear_Neyman",0.9,5000,3,341,301,18.3041856515926,-4.66762625919361,-6.98219652873908,-5.96049195003275,8.72800000000001
"mRock_kNN_global_bs_Neyman",0.9,5000,3,341,301,1.68694235843907,-3.71646327422504,-2.20867828762856,-3.34669875247663,12.553
"mRock_kNN_global_linear_Neyman",0.9,5000,3,341,602,14.1489197536307,-6.17602098801084,-7.26965577552803,-3.21306429237991,7.946
"mRock_kNN_global_bs_Neyman",0.9,5000,3,341,602,1.41121284161532,-3.34228771656716,-2.26999495268614,-3.53508751213389,11.674
"two_step_Neyman",0.9,5000,3,341,NA,8.77945954341169,-3.08475177295862,-4.35672393184061,-7.69838399317159,0.0310000000000059
"two_step_LS",0.9,5000,3,341,NA,-1.23590987789465,9.68048299685647,2.6592337897578,-7.69775740459853,0.0120000000000005
"mRock_kNN_global_linear_Neyman",0.9,5000,3,342,301,13.8540785469241,-12.6091471805267,-3.20862534248181,1.17844064133356,9.03200000000001
"mRock_kNN_global_bs_Neyman",0.9,5000,3,342,301,0.00267601707699183,-10.355022335382,-0.65235125308326,5.47664844524925,12.313
"mRock_kNN_global_linear_Neyman",0.9,5000,3,342,602,10.3088952355556,-12.2693317577052,-3.05326405726929,2.30297148749486,7.76400000000001
"mRock_kNN_global_bs_Neyman",0.9,5000,3,342,602,-0.846422161875138,-10.480621562246,0.634130942324311,6.08664230861955,11.647
"two_step_Neyman",0.9,5000,3,342,NA,3.48542911118625,-8.71180064629753,1.66770646736127,8.18672360176024,0.0300000000000011
"two_step_LS",0.9,5000,3,342,NA,-2.72777044418283,4.86967712374395,5.23493520694708,4.02729831105859,0.0139999999999816
"mRock_kNN_global_linear_Neyman",0.9,5000,3,343,301,12.9062619158785,-0.863633233113872,-2.63057735454687,1.19516645901344,8.226
"mRock_kNN_global_bs_Neyman",0.9,5000,3,343,301,0.110360944083016,7.3340448149168,2.2973960814228,-1.34864323480073,11.7
"mRock_kNN_global_linear_Neyman",0.9,5000,3,343,602,10.7533300792035,3.22562844288616,-2.77925538175524,-2.6662642318647,7.34899999999999
"mRock_kNN_global_bs_Neyman",0.9,5000,3,343,602,0.323937235609572,8.41455615201877,2.16086643350928,-0.0978304914242945,10.88
"two_step_Neyman",0.9,5000,3,343,NA,4.33516589278536,6.6742688492649,4.32464699235897,-2.81866081057129,0.0319999999999823
"two_step_LS",0.9,5000,3,343,NA,-3.42475738489221,19.8941030058491,8.69234582346108,-4.94330458673949,0.0109999999999957
"mRock_kNN_global_linear_Neyman",0.9,5000,3,344,301,12.6541786310816,-4.74077160276205,-7.33582505176734,-0.253343897810361,9.214
"mRock_kNN_global_bs_Neyman",0.9,5000,3,344,301,-1.10629530244254,-1.8660268107745,-2.48635667841725,1.55194580177153,13.106
"mRock_kNN_global_linear_Neyman",0.9,5000,3,344,602,10.7849600426222,-1.86777714550103,-6.58785177107471,-1.98640571445304,7.804
"mRock_kNN_global_bs_Neyman",0.9,5000,3,344,602,-1.29356261873938,-1.84662901595857,-3.2653410242746,2.70654950092068,11.978
"two_step_Neyman",0.9,5000,3,344,NA,4.24356421176631,-6.89162107069138,-5.35801691090331,6.11522311308783,0.0289999999999964
"two_step_LS",0.9,5000,3,344,NA,-3.09525377928414,8.15618665471604,-0.908777445941985,1.4479122938126,0.0120000000000005
"mRock_kNN_global_linear_Neyman",0.9,5000,3,345,301,10.6837737054225,-4.95198792406353,-2.50180200271524,2.64213704209344,9.056
"mRock_kNN_global_bs_Neyman",0.9,5000,3,345,301,-2.07304802549715,-0.46911425026092,1.8583365300299,2.85713578241749,11.987
"mRock_kNN_global_linear_Neyman",0.9,5000,3,345,602,7.77940777741375,-3.56796806885107,-1.14392591542544,0.884670088370746,7.53900000000002
"mRock_kNN_global_bs_Neyman",0.9,5000,3,345,602,-2.10054834473821,0.62857349051772,2.3079641061503,2.21681606768331,11.585
"two_step_Neyman",0.9,5000,3,345,NA,2.02877240211561,-1.9483548090447,3.1573225493171,5.65236275351821,0.0409999999999968
"two_step_LS",0.9,5000,3,345,NA,-5.82215709826173,9.3984688902887,6.82136557139704,6.1042369873887,0.0159999999999911
"mRock_kNN_global_linear_Neyman",0.9,5000,3,346,301,13.8631795771012,-6.36288605512626,-3.89339468932179,1.3527159714651,9.09
"mRock_kNN_global_bs_Neyman",0.9,5000,3,346,301,-1.44492552293135,-3.73727470187825,1.24403321080391,3.6672268213281,12.287
"mRock_kNN_global_linear_Neyman",0.9,5000,3,346,602,11.1345299533724,-7.91001980220764,-3.48478156687617,3.30665528942247,8.238
"mRock_kNN_global_bs_Neyman",0.9,5000,3,346,602,-1.77734258499753,-3.61985890709728,1.62001718974252,4.45586662028085,11.48
"two_step_Neyman",0.9,5000,3,346,NA,4.68047346045167,-6.95938501326412,-0.780097243663332,8.19453074254904,0.0339999999999918
"two_step_LS",0.9,5000,3,346,NA,-3.2821004883818,5.76201008292094,5.26117979730558,5.54849774875531,0.0109999999999957
"mRock_kNN_global_linear_Neyman",0.9,5000,3,347,301,9.73314873368908,-6.86192506341856,-1.20678048655449,-0.125513488437349,8.42699999999999
"mRock_kNN_global_bs_Neyman",0.9,5000,3,347,301,-3.39626818548143,-1.92887156172248,2.4074028163938,-1.62648679435278,12.18
"mRock_kNN_global_linear_Neyman",0.9,5000,3,347,602,7.24385995464528,-5.32860085443707,-1.13685499283008,-3.67070178823442,7.71899999999999
"mRock_kNN_global_bs_Neyman",0.9,5000,3,347,602,-3.76930046107251,-0.86120444136566,3.08859366172962,-2.66447690841161,11.563
"two_step_Neyman",0.9,5000,3,347,NA,-1.088129694692,-5.64259065016567,2.38638945794142,5.39477961700321,0.0320000000000107
"two_step_LS",0.9,5000,3,347,NA,-7.95706360250623,6.28222419884646,5.09708311818325,4.4227800720304,0.0159999999999911
"mRock_kNN_global_linear_Neyman",0.9,5000,3,348,301,12.4669866124683,-9.08450623567407,-0.200621338503666,2.04035865996321,9.18299999999999
"mRock_kNN_global_bs_Neyman",0.9,5000,3,348,301,-0.996488476809175,-2.22674683312557,1.5415103067793,-0.33621667676242,12.142
"mRock_kNN_global_linear_Neyman",0.9,5000,3,348,602,9.61600563356824,-7.74853990459041,-0.61021316636392,0.175745492019443,7.636
"mRock_kNN_global_bs_Neyman",0.9,5000,3,348,602,-1.55955603479498,-3.58284209043371,2.66244028595172,0.593592864962957,11.669
"two_step_Neyman",0.9,5000,3,348,NA,1.84133723760414,-6.24400994990486,2.62843921284118,2.99955138037979,0.0320000000000107
"two_step_LS",0.9,5000,3,348,NA,-2.90967539426427,2.17922413499378,5.74373866685071,0.982984177180191,0.0120000000000005
"mRock_kNN_global_linear_Neyman",0.9,5000,3,349,301,11.0188616676345,-5.59646604726353,-0.597230827801748,2.28994416947173,8.587
"mRock_kNN_global_bs_Neyman",0.9,5000,3,349,301,-0.730919740705593,1.9087481620697,3.13642798050317,0.0333761271609028,11.752
"mRock_kNN_global_linear_Neyman",0.9,5000,3,349,602,8.55903004508844,-4.98617425814589,-0.409036141236279,2.53679838147485,7.78900000000002
"mRock_kNN_global_bs_Neyman",0.9,5000,3,349,602,-1.19370593365747,3.55322191756561,4.22338588595726,-0.61926808351275,11.221
"two_step_Neyman",0.9,5000,3,349,NA,1.82206551727908,1.25557727074143,5.80444563098544,1.70938379985591,0.0320000000000107
"two_step_LS",0.9,5000,3,349,NA,-5.90309600284456,10.4193134241054,10.4028275763188,3.00647178283343,0.0139999999999816
"mRock_kNN_global_linear_Neyman",0.9,5000,3,35,301,12.4180918577932,-7.62710507263717,-2.30834820810302,-0.923902910818616,8.565
"mRock_kNN_global_bs_Neyman",0.9,5000,3,35,301,-1.03836622365806,-4.03787411498498,1.42369208898443,1.61144407930253,12.001
"mRock_kNN_global_linear_Neyman",0.9,5000,3,35,602,9.88462762481523,-9.82192563587562,-2.52514596010213,-0.109992084756193,7.43200000000002
"mRock_kNN_global_bs_Neyman",0.9,5000,3,35,602,-1.26686699458918,-6.06897995236307,0.569655630353961,1.91087697815793,11.359
"two_step_Neyman",0.9,5000,3,35,NA,4.85768284202282,-7.20595603723812,0.87494752426148,0.202577678431093,0.0349999999999966
"two_step_LS",0.9,5000,3,35,NA,-1.33244657982085,7.415164450341,4.58952413892864,-6.36829248857382,0.0159999999999911
"mRock_kNN_global_linear_Neyman",0.9,5000,3,350,301,14.7106187880248,-14.2982291425631,-1.41702241557125,6.10917481879509,8.877
"mRock_kNN_global_bs_Neyman",0.9,5000,3,350,301,2.40784030166267,-8.82744246240347,1.81259968046778,2.278429544013,12.319
"mRock_kNN_global_linear_Neyman",0.9,5000,3,350,602,12.3616008170586,-13.5979638819459,-0.813024480338507,2.54624569419604,7.51000000000002
"mRock_kNN_global_bs_Neyman",0.9,5000,3,350,602,2.4750021508075,-10.0233274622889,0.824869887947913,0.793614537860619,11.294
"two_step_Neyman",0.9,5000,3,350,NA,9.15580003810155,-13.3345533111669,-2.06665857485785,3.16358918588724,0.0319999999999823
"two_step_LS",0.9,5000,3,350,NA,1.52270365487952,-4.02202952079631,3.20755842787708,3.46129089007904,0.0100000000000193
"mRock_kNN_global_linear_Neyman",0.9,5000,3,351,301,13.840408802702,-12.2922439156932,-2.02289748541976,2.53710321311565,8.485
"mRock_kNN_global_bs_Neyman",0.9,5000,3,351,301,0.806068684464448,-7.30069620911397,-0.133251518358635,3.85368963129825,11.949
"mRock_kNN_global_linear_Neyman",0.9,5000,3,351,602,10.6208487289024,-14.0890065906533,-2.06936571169797,5.73939483747705,7.38499999999999
"mRock_kNN_global_bs_Neyman",0.9,5000,3,351,602,0.738084996075429,-8.31874243557817,0.211628447885328,6.11008416421612,10.721
"two_step_Neyman",0.9,5000,3,351,NA,4.56846231114696,-13.0857029021604,-0.825786647775566,11.5912008733865,0.0359999999999729
"two_step_LS",0.9,5000,3,351,NA,-0.787955764838313,-3.31577517205031,4.08835708303977,7.29103890383417,0.01400000000001
"mRock_kNN_global_linear_Neyman",0.9,5000,3,352,301,13.3861693235828,-8.78428892211797,-4.16392757772735,4.75315930099895,9.72499999999999
"mRock_kNN_global_bs_Neyman",0.9,5000,3,352,301,-0.341790163877786,-2.73421254081052,-0.00999884845448573,1.12573780864459,12.987
"mRock_kNN_global_linear_Neyman",0.9,5000,3,352,602,10.0719557253061,-9.03615512981078,-3.89037538830915,5.6637344707515,7.727
"mRock_kNN_global_bs_Neyman",0.9,5000,3,352,602,-0.382682646547886,-3.55401520218811,0.056552647329752,1.21673201743303,12.079
"two_step_Neyman",0.9,5000,3,352,NA,6.35307357044882,-2.6512387494575,-1.65421587293528,-1.52677758162705,0.0319999999999823
"two_step_LS",0.9,5000,3,352,NA,-1.61583903458328,7.18415918380214,3.18910963504407,0.163192534331517,0.0160000000000196
"mRock_kNN_global_linear_Neyman",0.9,5000,3,353,301,11.1038298825824,-7.26361255977782,0.401690262342333,-2.39948545722607,9.13500000000001
"mRock_kNN_global_bs_Neyman",0.9,5000,3,353,301,-1.25641029396577,-3.55605316209066,3.58328589285041,-0.705323980359707,12.155
"mRock_kNN_global_linear_Neyman",0.9,5000,3,353,602,7.97895980910441,-7.34729949010205,0.0799691800201328,-1.94583086026228,7.583
"mRock_kNN_global_bs_Neyman",0.9,5000,3,353,602,-1.11851016879151,-4.61299034185756,3.48943882271347,-0.324849157140069,10.85
"two_step_Neyman",0.9,5000,3,353,NA,2.12005699356708,-6.73623914817258,4.45366819183177,1.46046778286469,0.0380000000000109
"two_step_LS",0.9,5000,3,353,NA,-3.09803369616118,2.09466450381571,7.07849792071334,0.213586244082824,0.0130000000000052
"mRock_kNN_global_linear_Neyman",0.9,5000,3,354,301,12.5376890458578,-1.96299163342431,-2.96519558319828,-3.09144017465716,9.11
"mRock_kNN_global_bs_Neyman",0.9,5000,3,354,301,1.48969820965653,3.6824251518492,1.43468265966692,-4.84826899923392,11.966
"mRock_kNN_global_linear_Neyman",0.9,5000,3,354,602,11.550839625982,-1.98039552316406,-2.12723121261488,-5.938727656339,7.72399999999999
"mRock_kNN_global_bs_Neyman",0.9,5000,3,354,602,1.7868173107461,2.59570761181106,1.41317917985758,-5.34971887630199,11.826
"two_step_Neyman",0.9,5000,3,354,NA,6.7119387624364,4.87889133801798,2.00813872738761,-8.63718916863146,0.0340000000000202
"two_step_LS",0.9,5000,3,354,NA,0.41751205770101,14.3856539628842,5.19377986166755,-8.88001999373552,0.0109999999999957
"mRock_kNN_global_linear_Neyman",0.9,5000,3,355,301,15.6248753484176,-1.25734588712844,-4.83032841100093,-1.88339566744994,9.31899999999999
"mRock_kNN_global_bs_Neyman",0.9,5000,3,355,301,1.37279549620928,1.48153879437093,1.71541492557809,-2.66087425411455,12.829
"mRock_kNN_global_linear_Neyman",0.9,5000,3,355,602,12.4902345718038,-3.4616215231307,-4.61776922846755,-2.11802671097924,7.94799999999998
"mRock_kNN_global_bs_Neyman",0.9,5000,3,355,602,2.23664621615074,0.760714796601336,0.810561637607832,-2.16321656235725,11.993
"two_step_Neyman",0.9,5000,3,355,NA,9.96430760901097,4.38787839079586,-2.59417129054191,-8.62992587256524,0.0320000000000107
"two_step_LS",0.9,5000,3,355,NA,1.61503005012523,15.5744398842581,0.823834447151542,-5.9716653811109,0.01400000000001
"mRock_kNN_global_linear_Neyman",0.9,5000,3,356,301,13.9741535271708,-7.02837043181764,-4.69997008880848,-0.866490049461461,9.93300000000001
"mRock_kNN_global_bs_Neyman",0.9,5000,3,356,301,-0.0774331157470756,-4.03015913240774,-0.533513258711094,2.66462436702365,12.966
"mRock_kNN_global_linear_Neyman",0.9,5000,3,356,602,10.5584344590799,-7.93745413386984,-4.24800863839332,1.16191823730862,8.48099999999999
"mRock_kNN_global_bs_Neyman",0.9,5000,3,356,602,-0.180172451281499,-3.93723538564731,-0.712510470664448,3.31533572834256,11.984
"two_step_Neyman",0.9,5000,3,356,NA,4.27805403171346,-5.35846419820629,-1.89300257102446,6.71055021449909,0.0360000000000014
"two_step_LS",0.9,5000,3,356,NA,-2.22095607602855,4.41315002840724,2.31133657200178,5.74893443818557,0.0159999999999911
"mRock_kNN_global_linear_Neyman",0.9,5000,3,357,301,12.8938203437721,-1.06231484440283,-5.53075946598544,-0.384111891042892,14.28
"mRock_kNN_global_bs_Neyman",0.9,5000,3,357,301,-0.772535989497302,-0.376035594711912,0.520309797306315,1.27911563621283,17.396
"mRock_kNN_global_linear_Neyman",0.9,5000,3,357,602,11.01034284052,-2.16501401988923,-5.57235779533592,0.118670543841823,12.013
"mRock_kNN_global_bs_Neyman",0.9,5000,3,357,602,-0.443183540173553,1.5894306026592,0.273639619535851,0.111149288316141,15.728
"two_step_Neyman",0.9,5000,3,357,NA,3.93099404135684,-2.01975332558054,-4.62685002811232,9.91871946312823,0.0409999999999968
"two_step_LS",0.9,5000,3,357,NA,-1.64232958479756,8.70598354877651,-2.31541355510636,8.06921704441069,0.0159999999999911
"mRock_kNN_global_linear_Neyman",0.9,5000,3,358,301,14.3959862602976,-1.99167231985683,-7.82949662391907,2.69190511298901,13.429
"mRock_kNN_global_bs_Neyman",0.9,5000,3,358,301,-1.76063245191784,1.09644995173827,-1.08212301225837,4.80959590853483,16.202
"mRock_kNN_global_linear_Neyman",0.9,5000,3,358,602,11.1608037471444,-1.24696148813151,-7.19402372113267,2.35060297513872,10.458
"mRock_kNN_global_bs_Neyman",0.9,5000,3,358,602,-1.88744998375059,1.38248921236733,-1.7786649924112,4.7466115666742,14.914
"two_step_Neyman",0.9,5000,3,358,NA,3.44022163557526,-1.85278847817947,-4.46664961169367,11.0858428172898,0.0430000000000064
"two_step_LS",0.9,5000,3,358,NA,-7.39599518287181,14.4346298784457,4.43519498907886,8.06057391273075,0.0149999999999864
"mRock_kNN_global_linear_Neyman",0.9,5000,3,359,301,14.1317955410838,-8.56660903056275,-5.46903376868716,2.51369196987692,12.057
"mRock_kNN_global_bs_Neyman",0.9,5000,3,359,301,2.71444134296564,-1.81509577482039,-1.1654251161152,-0.0601828577060688,14.865
"mRock_kNN_global_linear_Neyman",0.9,5000,3,359,602,13.2988169603496,-7.67496258717392,-4.70932738834484,-1.04032306945638,10.253
"mRock_kNN_global_bs_Neyman",0.9,5000,3,359,602,3.26211197655409,-1.5920500917052,-0.274385882992987,-1.89030270546286,13.692
"two_step_Neyman",0.9,5000,3,359,NA,8.38092538415499,-5.92620877750367,-1.53482074859951,4.04305695684055,0.0409999999999968
"two_step_LS",0.9,5000,3,359,NA,1.45442413409699,5.84737341587872,2.79956280097727,1.4826060948655,0.01400000000001
"mRock_kNN_global_linear_Neyman",0.9,5000,3,36,301,12.2157618286143,-8.48106142375297,-3.98593822743368,5.5063251971345,8.92
"mRock_kNN_global_bs_Neyman",0.9,5000,3,36,301,-1.67526337905849,-2.32583314597829,-0.0408654433020312,2.93524699676524,12.156
"mRock_kNN_global_linear_Neyman",0.9,5000,3,36,602,9.03066345813761,-6.80531342591965,-4.10386026545722,4.32046391012982,7.66499999999999
"mRock_kNN_global_bs_Neyman",0.9,5000,3,36,602,-1.74954139540045,-0.767195845238672,-0.386095481158089,1.68184479275129,11.899
"two_step_Neyman",0.9,5000,3,36,NA,4.81711177375869,-8.24736937955229,-3.60349884979942,6.96739819965306,0.0289999999999964
"two_step_LS",0.9,5000,3,36,NA,-5.73227508086752,5.73402006389683,2.66038903099533,7.66595059714302,0.0110000000000241
"mRock_kNN_global_linear_Neyman",0.9,5000,3,360,301,16.116906515699,-0.313094507905483,-4.80272034011018,-5.21500932254985,11.762
"mRock_kNN_global_bs_Neyman",0.9,5000,3,360,301,2.69699620531777,3.99992004529548,-0.0866546632212293,-4.98688676630587,14.815
"mRock_kNN_global_linear_Neyman",0.9,5000,3,360,602,13.4237517300352,-0.25564318361779,-5.61182285281956,-4.62211258370499,9.45699999999999
"mRock_kNN_global_bs_Neyman",0.9,5000,3,360,602,2.41874237955407,5.00083824756978,-0.213266293516558,-5.0155660297578,13.024
"two_step_Neyman",0.9,5000,3,360,NA,8.45922283102535,2.78085687838959,-1.7816240775596,-6.19761272555627,0.0400000000000205
"two_step_LS",0.9,5000,3,360,NA,-0.320079519056035,12.1796654432812,1.58476769389012,-1.75369934650965,0.0139999999999816
"mRock_kNN_global_linear_Neyman",0.9,5000,3,361,301,17.0030903105563,-0.66991030758602,-7.22654001593582,-4.08872870434254,10.723
"mRock_kNN_global_bs_Neyman",0.9,5000,3,361,301,2.79985577744666,1.12985563079666,-2.57684379853568,-1.52506688631943,13.993
"mRock_kNN_global_linear_Neyman",0.9,5000,3,361,602,13.3941818830542,-1.1403766022168,-6.84791275074852,-1.56235711493062,8.94300000000001
"mRock_kNN_global_bs_Neyman",0.9,5000,3,361,602,1.9367266681742,1.10097048659807,-2.19377970349759,1.31515837500101,12.422
"two_step_Neyman",0.9,5000,3,361,NA,8.4819306280752,3.79241261026272,-5.22031081681689,-0.0147415003652784,0.0500000000000114
"two_step_LS",0.9,5000,3,361,NA,-1.29696813195042,15.8321951032264,2.01122826499809,0.00619828944147782,0.0149999999999864
"mRock_kNN_global_linear_Neyman",0.9,5000,3,362,301,13.0573471261655,-4.31446319217431,-9.93734102185494,1.30875896593906,9.744
"mRock_kNN_global_bs_Neyman",0.9,5000,3,362,301,-1.21357073338524,-3.0161767016835,-5.56767832042959,7.64369116195656,13.169
"mRock_kNN_global_linear_Neyman",0.9,5000,3,362,602,10.0571831497278,-5.61978732142715,-9.60211999413422,3.97767851632603,8.476
"mRock_kNN_global_bs_Neyman",0.9,5000,3,362,602,-0.695416668155153,-4.86380410484417,-6.26002449170809,8.64788959793773,12.319
"two_step_Neyman",0.9,5000,3,362,NA,4.3639226164198,-7.70802756907802,-8.46346395751139,13.18827500038,0.0310000000000059
"two_step_LS",0.9,5000,3,362,NA,-2.20464889795043,5.02478585228736,-5.98941776666161,11.0943944173755,0.0100000000000193
"mRock_kNN_global_linear_Neyman",0.9,5000,3,363,301,13.3299403762602,-8.18829578833433,-9.07234296212249,4.79491378437361,10.316
"mRock_kNN_global_bs_Neyman",0.9,5000,3,363,301,1.49493252475194,-1.46515265211276,-5.3889093487649,-0.46244308188012,13.156
"mRock_kNN_global_linear_Neyman",0.9,5000,3,363,602,11.3421786672021,-8.20215328281223,-8.76415983905001,3.78666060062951,8.29499999999999
"mRock_kNN_global_bs_Neyman",0.9,5000,3,363,602,2.16837202527839,-1.81898091804461,-5.39366340301752,-1.76012560052081,12.047
"two_step_Neyman",0.9,5000,3,363,NA,9.25011909081927,-1.1605716135262,-7.79683860350542,-5.43995723410315,0.0430000000000064
"two_step_LS",0.9,5000,3,363,NA,0.408520480636007,12.4534804606669,-4.32590340446394,-4.66902729692984,0.0159999999999911
"mRock_kNN_global_linear_Neyman",0.9,5000,3,364,301,17.2717341529352,-4.09809394301884,-6.76666639600942,-2.28437159544262,9.764
"mRock_kNN_global_bs_Neyman",0.9,5000,3,364,301,2.64448734516208,1.34260903135344,-3.20436076909196,-0.668689109312873,12.579
"mRock_kNN_global_linear_Neyman",0.9,5000,3,364,602,14.3259548133446,-2.86656544171478,-7.0277392115073,-2.98190779848972,8.071
"mRock_kNN_global_bs_Neyman",0.9,5000,3,364,602,3.67231192491834,1.72708746736384,-4.01545104460472,-1.773929781427,12.298
"two_step_Neyman",0.9,5000,3,364,NA,9.08086101765728,0.897629558541771,-3.58216403409805,-4.71043051520467,0.0330000000000155
"two_step_LS",0.9,5000,3,364,NA,0.023822298397834,9.74438301838614,1.75653081456574,-1.26225430997431,0.0120000000000005
"mRock_kNN_global_linear_Neyman",0.9,5000,3,365,301,9.99609526783195,-0.917592227590013,-6.37466778479771,3.18337985779953,8.092
"mRock_kNN_global_bs_Neyman",0.9,5000,3,365,301,-2.28150988653912,4.1065155501601,-2.7747012980088,4.63503991816563,11.825
"mRock_kNN_global_linear_Neyman",0.9,5000,3,365,602,7.2414524284625,-1.54463467240699,-6.76114686307871,2.93685752995982,7.149
"mRock_kNN_global_bs_Neyman",0.9,5000,3,365,602,-3.16567231346859,3.49723415454573,-3.14410355109517,6.13873352422045,11.045
"two_step_Neyman",0.9,5000,3,365,NA,2.45897014346362,3.60767914756259,-2.04316482729551,3.50631877958389,0.0320000000000107
"two_step_LS",0.9,5000,3,365,NA,-6.053670164506,17.8215654574648,1.38187672613319,2.79354338002419,0.00999999999999091
"mRock_kNN_global_linear_Neyman",0.9,5000,3,366,301,14.3867467722775,-0.740941567691972,-2.95850703725131,-2.01016781523556,8.551
"mRock_kNN_global_bs_Neyman",0.9,5000,3,366,301,-0.0469304743642012,5.93403233735877,-0.399391608616454,-4.37773498574714,11.96
"mRock_kNN_global_linear_Neyman",0.9,5000,3,366,602,12.5498601036046,0.362990551760867,-4.73655613730095,-4.87216376381542,7.26500000000001
"mRock_kNN_global_bs_Neyman",0.9,5000,3,366,602,0.0475814520676929,5.05459489223521,-0.612436663363552,-5.5251868915719,11.383
"two_step_Neyman",0.9,5000,3,366,NA,7.11637197177446,4.01977408060203,-1.52269963006745,-5.0729070751709,0.032999999999987
"two_step_LS",0.9,5000,3,366,NA,-1.82144715601224,16.8485924757029,3.82760259088659,-4.93255076862529,0.0120000000000005
"mRock_kNN_global_linear_Neyman",0.9,5000,3,367,301,13.9410819447648,-7.47501037500758,-6.21534097825816,-0.561966849805252,10.161
"mRock_kNN_global_bs_Neyman",0.9,5000,3,367,301,0.84547486697709,-5.40902031792138,-1.97106016662072,0.514943442251466,13.335
"mRock_kNN_global_linear_Neyman",0.9,5000,3,367,602,11.0519373224551,-8.64838317076936,-4.89636993905563,0.104526619933073,9.12099999999998
"mRock_kNN_global_bs_Neyman",0.9,5000,3,367,602,0.620438932678721,-4.68904568087955,-1.38226970569746,1.09841349979567,12.465
"two_step_Neyman",0.9,5000,3,367,NA,6.64987530505945,-9.62492652773281,-4.72929822450743,7.82946014276728,0.0349999999999966
"two_step_LS",0.9,5000,3,367,NA,-1.95630442290397,6.91062566092187,-0.457622644295824,4.52017426900925,0.0139999999999816
"mRock_kNN_global_linear_Neyman",0.9,5000,3,368,301,12.3626304277266,-7.21142595002289,-1.20719738790313,4.0978956268838,9.934
"mRock_kNN_global_bs_Neyman",0.9,5000,3,368,301,-0.315904749575766,-3.16047170615041,3.53426056523622,7.42404991206845,13.218
"mRock_kNN_global_linear_Neyman",0.9,5000,3,368,602,10.0816331159361,-6.50545220845657,-0.799476001081369,3.98469305563257,8.34100000000001
"mRock_kNN_global_bs_Neyman",0.9,5000,3,368,602,-0.408838265375813,-3.84101803604906,3.96522200748784,8.49006165416024,12.124
"two_step_Neyman",0.9,5000,3,368,NA,3.70637298230733,-4.28514871820788,4.0662319924933,7.75312049933214,0.0349999999999966
"two_step_LS",0.9,5000,3,368,NA,-5.18982947056575,6.5787722515565,8.95659132078467,9.90479411706412,0.01400000000001
"mRock_kNN_global_linear_Neyman",0.9,5000,3,369,301,11.8810925602415,-4.27365589685907,-3.46819296063161,3.62498458313274,8.17599999999999
"mRock_kNN_global_bs_Neyman",0.9,5000,3,369,301,-1.54950312945115,1.09187981625664,2.68175405626311,0.0488290536281384,11.26
"mRock_kNN_global_linear_Neyman",0.9,5000,3,369,602,9.64517527256357,-4.46473381669649,-2.49327504272986,2.78893034268731,6.53899999999999
"mRock_kNN_global_bs_Neyman",0.9,5000,3,369,602,-1.69958802470357,0.969671803537901,2.57377536114131,0.870123797649919,10.294
"two_step_Neyman",0.9,5000,3,369,NA,2.60636112508377,-0.381030284626542,0.77656178927801,4.94191247538804,0.0320000000000107
"two_step_LS",0.9,5000,3,369,NA,-6.99762707546307,13.3377535165097,7.34751813573547,4.43399541411731,0.00999999999999091
"mRock_kNN_global_linear_Neyman",0.9,5000,3,37,301,14.7117085500854,-6.75138079626808,-7.51286087142737,2.45100532675055,8.863
"mRock_kNN_global_bs_Neyman",0.9,5000,3,37,301,1.0811008868147,-1.32180398787812,-2.74733678938543,1.12119136566352,12.27
"mRock_kNN_global_linear_Neyman",0.9,5000,3,37,602,10.9485000585625,-6.06296406392205,-5.32179073884695,0.585087906154488,7.61799999999999
"mRock_kNN_global_bs_Neyman",0.9,5000,3,37,602,1.45402777965248,-1.26339164524675,-1.87940932715219,0.215356271334405,11.462
